1, 1225359
2, 149963
3, 108736
4, 95087
5, 89500
6, 86589
7, 91109
8, 95188
9, 90467
10, 81789
11, 66742
12, 45151
13, 24309
14, 8110
15, 1803
16, 480
17, 182
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 70
27, 202
28, 584
29, 585
30, 1073
31, 2117
32, 2907
33, 4157
34, 6691
35, 8696
36, 11901
37, 16585
38, 20818
39, 25010
40, 29367
41, 31701
42, 33056
43, 34436
44, 35374
45, 35566
46, 33531
47, 29591
48, 22566
49, 14915
50, 11482
51, 5636
52, 2341
53, 2490
54, 2401
55, 1960
56, 618
57, 8126
58, 6568
59, 6504
60, 7271
61, 6670
62, 9616
63, 12114
64, 0
