0	2	2	6	5	2	5	6	4	6	4
1	0	1	3	3	3	3	3	2	3	2
2	0	0	1	0	0	1	1	0	1	0
3	1	2	3	3	2	3	3	3	3	3
4	7	14	21	14	7	20	21	14	21	9
5	8	12	16	13	9	16	16	11	16	10
6	10	14	18	15	14	18	18	12	18	10
7	20	21	24	23	10	23	24	12	24	11
8	11	14	17	16	14	17	17	13	17	15
9	12	13	17	17	14	17	17	15	17	13
10	14	15	22	22	17	22	22	18	22	21
11	13	19	24	22	20	24	24	20	24	19
12	25	27	39	30	18	39	39	28	39	25
13	4	6	15	11	7	14	15	11	15	5
15	0	0	1	1	1	1	1	1	1	0
16	0	1	3	3	3	3	3	2	3	3
17	1	2	4	4	4	4	4	4	4	3
19	0	1	1	1	1	1	1	1	1	1
20	1	1	1	0	1	1	1	0	1	1
21	1	2	4	4	4	4	4	4	4	4
22	0	0	6	6	6	6	6	6	6	5
23	2	3	3	2	3	3	3	2	3	3
24	1	1	1	1	1	1	1	1	1	1
26	0	0	2	2	1	2	2	0	2	1
27	0	0	1	1	1	1	1	0	1	1
29	1	1	1	1	0	1	1	1	1	1
30	1	1	1	1	1	1	1	1	1	1
31	1	1	1	0	1	1	1	0	1	0
34	1	1	1	1	0	1	1	1	1	1
36	1	1	1	1	1	1	1	1	1	1
37	1	50	51	50	51	51	51	2	51	3
38	1	1	2	2	2	2	2	2	2	1
39	3	3	3	3	3	3	3	3	3	2
41	1	2	3	2	2	3	3	1	3	1
42	1	1	1	0	1	1	1	0	1	1
43	1	1	1	1	1	1	1	1	1	1
44	1	2	2	2	2	2	2	2	2	2
45	2	3	4	3	4	4	4	3	4	4
46	2	2	2	2	2	2	2	1	2	1
47	3	3	3	3	3	3	3	3	3	3
49	1	1	1	1	1	1	1	1	1	1
50	1	1	1	1	1	1	1	1	1	1
51	3	5	10	9	10	9	10	9	10	8
52	3	3	7	7	6	7	7	7	7	6
