-1 2 4 19 10 5 16 19 7 31 0
0 5 29 280 121 72 240 280 97 31 8
1 7 59 406 240 141 343 406 102 32 11
2 16 54 259 101 25 183 259 83 24 45
3 42 102 429 218 14 241 429 213 36 40
4 130 885 5401 2077 275 4879 5401 1778 76 82
5 363 438 230 137 60 214 230 108 152 120
6 200 320 358 123 70 315 358 77 373 121
7 314 368 120 113 64 111 120 68 181 156
8 559 737 457 144 110 408 457 106 186 219
9 309 359 132 121 66 127 132 93 184 158
10 331 394 237 213 189 199 237 136 128 163
11 285 340 178 137 93 137 178 106 135 161
12 368 1341 1534 1115 274 1432 1534 1021 170 340
13 124 367 488 400 111 404 488 365 48 122
14 98 110 25 7 25 2 25 0 3 127
15 55 69 4 7 4 4 4 3 9 74
16 37 46 6 10 6 6 6 2 8 49
17 61 70 12 15 11 11 12 8 12 28
18 44 69 359 362 359 359 359 359 5 124
19 47 58 7 4 6 7 7 3 9 94
20 74 77 2 3 2 2 2 1 13 50
21 66 87 49 42 45 44 49 40 15 70
22 130 143 16 12 7 15 16 9 15 40
23 59 62 10 7 8 7 10 5 23 26
24 48 50 9 15 8 8 9 5 5 19
25 47 50 7 10 7 3 7 2 22 35
26 65 76 18 17 14 16 18 3 21 20
27 67 73 7 3 3 5 7 0 22 14
28 48 49 1 0 1 1 1 0 3 15
29 64 73 4 12 3 4 4 2 14 33
30 56 64 4 8 4 4 4 1 5 34
31 485 488 4 4 3 4 4 2 4 23
32 285 292 2 1 1 2 2 1 6 34
33 58 61 3 2 1 3 3 1 11 22
34 93 99 12 11 7 12 12 10 18 36
35 60 64 2 3 2 2 2 1 13 34
36 84 108 6 15 3 6 6 4 27 19
37 140 266 197 132 53 197 197 83 56 28
38 63 68 8 8 8 8 8 3 14 39
39 190 203 11 13 9 9 11 6 40 61
40 60 70 6 7 3 6 6 0 9 34
41 56 66 10 10 8 9 10 4 16 39
42 68 75 7 9 5 7 7 4 5 40
43 148 160 7 15 2 7 7 6 12 85
44 84 108 115 12 103 22 115 6 8 130
45 99 146 15 13 7 15 15 12 9 672
46 65 98 7 10 5 7 7 3 9 383
47 54 85 12 16 11 12 12 7 26 355
48 52 85 53 16 42 53 53 11 5 344
49 71 86 12 12 7 12 12 8 12 184
50 171 191 11 8 8 11 11 4 6 186
51 616 636 61 21 54 56 61 21 12 70
52 90 95 84 23 62 84 81 22 9 23
